source_vertex_id,distance_to_surface
1454,0.516603
1455,0.543808
1456,0.446637
1457,0.401832
1458,0.446293
1459,0.388098
1460,0.342505
1461,0.373730
1462,0.418355
1463,0.488709
1464,0.572753
1465,0.662330
1466,0.661299
1467,0.713884
1468,0.647387
1469,0.583209
1470,0.520137
1471,0.471065
1472,0.419648
1473,0.369151
1474,0.373945
1475,0.416581
1476,0.567622
1477,0.714056
1478,0.215704
1479,0.259987
1480,0.232423
1481,0.253205
1482,0.291311
1483,0.273504
1484,0.329464
1485,0.288175
1486,0.313141
1487,0.306716
1488,0.249471
1489,0.271557
1490,0.121073
1491,0.174567
1492,0.026437
1493,0.070050
1494,0.073198
1495,0.154672
1496,0.226648
1497,0.403025
1498,0.250700
1499,0.511637
1500,0.484262
1501,0.351988
1502,0.399276
1503,0.825490
1504,0.885630
1505,0.824786
1506,0.867840
1507,0.690656
1508,0.963501
1509,1.048233
1510,0.631827
1511,0.722823
1512,0.707622
1513,0.398397
1514,0.349839
1515,0.479644
1516,0.640734
1517,0.352340
1518,0.417493
1519,0.087593
1520,0.128489
1521,0.460146
1522,0.447748
1523,0.651867
1524,0.565258
1525,0.797138
1526,0.659730
1527,0.839055
1528,0.306287
1529,0.679061
1530,0.633246
1531,0.455051
1532,0.275474
1533,0.215889
1534,0.103187
1535,0.056040
1536,0.126078
1537,0.172849
1538,0.144239
1539,0.138327
1540,0.043082
1541,0.171688
1542,0.273104
1543,0.285833
1544,0.666354
1545,0.443296
1546,0.609828
1547,0.558167
1548,0.806413
1549,0.728157
1550,0.840372
1551,0.333745
1552,0.370209
1553,0.346724
1554,0.391270
1555,0.411576
1556,0.428269
1557,0.434010
1558,0.443631
1559,0.493405
1560,0.509006
1561,0.516619
1562,0.569087
1563,0.572084
1564,0.608339
1565,0.611281
1566,0.576618
1567,0.499509
1568,0.476987
1569,0.511543
1570,0.412202
1571,0.481340
1572,0.601069
1573,0.608487
1574,0.649387
1575,0.705449
1576,0.661205
1577,0.642672
1578,0.619946
1579,0.509419
1580,0.456738
1581,0.381464
1582,0.311761
1583,0.402526
1584,0.535247
1585,0.319168
1586,0.263113
1587,0.231592
1588,0.695747
1589,0.304811
1590,0.289563
1591,0.369708
1592,0.353191
1593,0.361579
1594,0.296143
1595,0.352213
1596,0.297602
1597,0.138874
